Match_ID,Player_ID,Blind,Preflop,Flop,Turn,River,Showdown,Winner,PFRF,PlayerID,matches_played,matches_pfrf,pfrf_percent,num_wins,win_percent,c_t_bets_per,s_rat,cluster,normal_rating
#301724363,XrM1XlN29RxmLx3oZHhG0w,ante,folds,0,0,0,0,FALSE,1,70,403,295,0.732009926,85,0.210918114,111,0.275434243,1,0.189712128
#301724363,X+u4T/E5ANkyZLKm1YjqwQ,posts,folds,0,0,0,0,FALSE,1,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301724363,wyXD1O26Buq3VWHAij37Jg,posts,folds,0,0,0,0,FALSE,1,110,735,593,0.806802721,117,0.159183673,174,0.236734694,0,0.034105421
#301724363,3wT3m+GDGtVWU1KR2MWJ1Q,ante,returned,won,0,0,0,TRUE,0,10,309,226,0.731391586,71,0.229773463,83,0.268608414,1,0.195008637
#301724363,/P+7Z0P/b7YiK60FW9dRAQ,ante,folds,0,0,0,0,FALSE,1,3,283,230,0.812720848,50,0.176678445,60,0.212014134,0,0.035248976
#301724363,eXXdS46B0E4apgZgp7gHFw,ante,0,0,0,0,0,FALSE,0,78,116,88,0.75862069,23,0.198275862,36,0.310344828,1,0.198646076
#301724660,X+u4T/E5ANkyZLKm1YjqwQ,ante,folds,0,0,0,0,FALSE,1,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301724660,wyXD1O26Buq3VWHAij37Jg,posts,folds,0,0,0,0,FALSE,1,110,735,593,0.806802721,117,0.159183673,174,0.236734694,0,0.034105421
#301724660,3wT3m+GDGtVWU1KR2MWJ1Q,posts,calls,folds,0,0,0,FALSE,0,10,309,226,0.731391586,71,0.229773463,83,0.268608414,1,0.195008637
#301724660,/P+7Z0P/b7YiK60FW9dRAQ,ante,raises,returned,won,0,0,TRUE,1,3,283,230,0.812720848,50,0.176678445,60,0.212014134,0,0.035248976
#301724660,XrM1XlN29RxmLx3oZHhG0w,ante,folds,0,0,0,0,FALSE,1,70,403,295,0.732009926,85,0.210918114,111,0.275434243,1,0.189712128
#301724934,wyXD1O26Buq3VWHAij37Jg,ante,folds,0,0,0,0,FALSE,1,110,735,593,0.806802721,117,0.159183673,174,0.236734694,0,0.034105421
#301724934,3wT3m+GDGtVWU1KR2MWJ1Q,posts,folds,0,0,0,0,FALSE,1,10,309,226,0.731391586,71,0.229773463,83,0.268608414,1,0.195008637
#301724934,/P+7Z0P/b7YiK60FW9dRAQ,posts,folds,0,0,0,0,FALSE,1,3,283,230,0.812720848,50,0.176678445,60,0.212014134,0,0.035248976
#301724934,XrM1XlN29RxmLx3oZHhG0w,ante,folds,0,0,0,0,FALSE,1,70,403,295,0.732009926,85,0.210918114,111,0.275434243,1,0.189712128
#301724934,X+u4T/E5ANkyZLKm1YjqwQ,ante,returned,won,0,0,0,TRUE,0,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301725045,3wT3m+GDGtVWU1KR2MWJ1Q,ante,folds,0,0,0,0,FALSE,1,10,309,226,0.731391586,71,0.229773463,83,0.268608414,1,0.195008637
#301725045,/P+7Z0P/b7YiK60FW9dRAQ,posts,folds,0,0,0,0,FALSE,1,3,283,230,0.812720848,50,0.176678445,60,0.212014134,0,0.035248976
#301725045,eXXdS46B0E4apgZgp7gHFw,posts,folds,0,0,0,0,FALSE,1,78,116,88,0.75862069,23,0.198275862,36,0.310344828,1,0.198646076
#301725045,XrM1XlN29RxmLx3oZHhG0w,ante,folds,0,0,0,0,FALSE,1,70,403,295,0.732009926,85,0.210918114,111,0.275434243,1,0.189712128
#301725045,X+u4T/E5ANkyZLKm1YjqwQ,ante,returned,won,0,0,0,TRUE,0,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301725045,wyXD1O26Buq3VWHAij37Jg,ante,folds,0,0,0,0,FALSE,1,110,735,593,0.806802721,117,0.159183673,174,0.236734694,0,0.034105421
#301725274,/P+7Z0P/b7YiK60FW9dRAQ,ante,returned,won,0,0,0,TRUE,0,3,283,230,0.812720848,50,0.176678445,60,0.212014134,0,0.035248976
#301725274,eXXdS46B0E4apgZgp7gHFw,posts,folds,0,0,0,0,FALSE,1,78,116,88,0.75862069,23,0.198275862,36,0.310344828,1,0.198646076
#301725274,XrM1XlN29RxmLx3oZHhG0w,posts,folds,0,0,0,0,FALSE,1,70,403,295,0.732009926,85,0.210918114,111,0.275434243,1,0.189712128
#301725274,X+u4T/E5ANkyZLKm1YjqwQ,ante,folds,0,0,0,0,FALSE,1,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301725274,wyXD1O26Buq3VWHAij37Jg,ante,folds,0,0,0,0,FALSE,1,110,735,593,0.806802721,117,0.159183673,174,0.236734694,0,0.034105421
#301725274,3wT3m+GDGtVWU1KR2MWJ1Q,ante,folds,0,0,0,0,FALSE,1,10,309,226,0.731391586,71,0.229773463,83,0.268608414,1,0.195008637
#301725477,eXXdS46B0E4apgZgp7gHFw,ante,calls,folds,0,0,0,FALSE,0,78,116,88,0.75862069,23,0.198275862,36,0.310344828,1,0.198646076
#301725477,XrM1XlN29RxmLx3oZHhG0w,posts,folds,0,0,0,0,FALSE,1,70,403,295,0.732009926,85,0.210918114,111,0.275434243,1,0.189712128
#301725477,X+u4T/E5ANkyZLKm1YjqwQ,posts,folds,0,0,0,0,FALSE,1,67,383,313,0.817232376,84,0.219321149,103,0.268929504,1,0.210190777
#301725477,wyXD1O26Buq3VWHAij37Jg,ante,folds,0,0,0,0,FALSE,1,110,735,593,0.806802721,117,0.159183673,174,0.236734694,0,0.034105421
#301725477,3wT3m+GDGtVWU1KR2MWJ1Q,ante,raises,bets,bets,all-in,won,TRUE,1,10,309,226,0.731391586,71,0.229773463,83,0.268608414,1,0.195008637
#301725477,/P+7Z0P/b7YiK60FW9dRAQ,ante,calls,calls,calls,calls,won,TRUE,0,3,283,230,0.812720848,50,0.176678445,60,0.212014134,0,0.035248976
#301726319,MiMarMfTeMU39pt2obBh3A,0,calls,checks,returned,won,0,TRUE,0,44,33,13,0.393939394,12,0.363636364,21,0.636363636,4,0.793084216
#301726319,yOOMTqsR9EFECI4lSNpp1A,posts,calls,checks,folds,0,0,FALSE,0,112,909,768,0.844884488,116,0.127612761,140,0.154015402,0,0.023365527
#301726319,Ga4nLjbXWOp+RvIPu1VksQ,posts,checks,checks,folds,0,0,FALSE,0,32,195,153,0.784615385,30,0.153846154,38,0.194871795,0,0.026050024
#301726319,4QICpZ6v7I+i8nJKeSSE8Q,0,folds,0,0,0,0,FALSE,1,13,31,25,0.806451613,5,0.161290323,9,0.290322581,1,0.19117356
