Match_ID,Player_ID,Blind,Preflop,Flop,Turn,River,Showdown,Winner,PFRF,PlayerID,matches_played,matches_pfrf,pfrf_percent,num_wins,win_percent,c_t_bets_per,s_rat,cluster,normal_rating
#302183440,2Ez5c6bXau0gBfNkgjka6w,0,folds,0,0,0,0,FALSE,1,2,60,51,0.85,9,0.15,14,0.233333333,0,0.033783784
#302183440,hITZjEBDFIt6lJqZ/v21fw,posts,calls,returned,won,0,0,TRUE,0,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302183440,468IPLRNnM70CzKR7wjiIA,posts,checks,folds,0,0,0,FALSE,0,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302183440,J/MRE0h1byBxOS3nscCzRg,0,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302183440,ZvUzSVOOKZwfU5rLMFTUFg,0,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302183440,V1tBWCstw/IRehRmisMDJg,0,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302183992,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302183992,HBMehTXF4dRLWqZ01IB23g,posts,0,won,0,0,0,TRUE,0,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184013,HBMehTXF4dRLWqZ01IB23g,posts,folds,0,0,0,0,FALSE,1,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184013,iiZwyGkuKmo3uwxjNnu1ng,posts,0,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302183577,hITZjEBDFIt6lJqZ/v21fw,0,calls,bets,calls,folds,0,FALSE,0,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
#302183577,468IPLRNnM70CzKR7wjiIA,posts,calls,folds,0,0,0,FALSE,0,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302183577,J/MRE0h1byBxOS3nscCzRg,posts,checks,calls,raises,returned,won,TRUE,0,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302183577,ZvUzSVOOKZwfU5rLMFTUFg,0,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302183577,V1tBWCstw/IRehRmisMDJg,0,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302183577,2Ez5c6bXau0gBfNkgjka6w,0,folds,0,0,0,0,FALSE,1,2,60,51,0.85,9,0.15,14,0.233333333,0,0.033783784
#302184063,iiZwyGkuKmo3uwxjNnu1ng,posts,returned,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302184063,HBMehTXF4dRLWqZ01IB23g,posts,folds,0,0,0,0,FALSE,1,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184088,HBMehTXF4dRLWqZ01IB23g,posts,calls,folds,0,0,0,FALSE,0,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184088,iiZwyGkuKmo3uwxjNnu1ng,posts,raises,returned,won,0,0,TRUE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302184168,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302184168,HBMehTXF4dRLWqZ01IB23g,posts,0,won,0,0,0,TRUE,0,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184190,HBMehTXF4dRLWqZ01IB23g,posts,returned,won,0,0,0,TRUE,0,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184190,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302184215,iiZwyGkuKmo3uwxjNnu1ng,posts,returned,won,0,0,0,TRUE,0,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302184215,HBMehTXF4dRLWqZ01IB23g,posts,folds,0,0,0,0,FALSE,1,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184246,HBMehTXF4dRLWqZ01IB23g,posts,returned,won,0,0,0,TRUE,0,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302184246,iiZwyGkuKmo3uwxjNnu1ng,posts,folds,0,0,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302184279,iiZwyGkuKmo3uwxjNnu1ng,posts,raises,checks,folds,0,0,FALSE,1,44,100,38,0.38,46,0.46,58,0.58,4,0.773648649
#302184279,HBMehTXF4dRLWqZ01IB23g,posts,calls,checks,returned,won,0,TRUE,0,19,15,6,0.4,10,0.666666667,9,0.6,4,0.968468468
#302183819,468IPLRNnM70CzKR7wjiIA,0,raises,bets,checks,calls,mucks,FALSE,1,4,234,151,0.645299145,59,0.252136752,104,0.444444444,2,0.357761608
#302183819,J/MRE0h1byBxOS3nscCzRg,posts,folds,0,0,0,0,FALSE,1,20,199,158,0.793969849,28,0.140703518,34,0.170854271,0,0.020202363
#302183819,ZvUzSVOOKZwfU5rLMFTUFg,posts,folds,0,0,0,0,FALSE,1,32,87,72,0.827586207,14,0.16091954,16,0.183908046,0,0.028347313
#302183819,V1tBWCstw/IRehRmisMDJg,0,folds,0,0,0,0,FALSE,1,28,181,153,0.845303867,25,0.138121547,33,0.182320442,0,0.026131103
#302183819,2Ez5c6bXau0gBfNkgjka6w,0,folds,0,0,0,0,FALSE,1,2,60,51,0.85,9,0.15,14,0.233333333,0,0.033783784
#302183819,hITZjEBDFIt6lJqZ/v21fw,0,calls,calls,checks,bets,won,TRUE,0,41,86,34,0.395348837,27,0.313953488,48,0.558139535,3,0.497328724
